;player_id;pretty_name;age;height_cm;weight_kg;foot;Nationality;club_name;club_contract_valid_until;release_clause_eur;position;Minutes played;Goals;Assists;Yellow cards;Red cards;SpG;PS%;Aearials Won;MotM;Rating;Tackles;Interceptions;Fouls commited;Clearances;Dribbled past;Blocks;Key Passes;Dribbles;Fouled;Dispossessed;Bad control;Crosses;Long balls;Through balls;Games;market_value_in_eur;missed_games;wiki_views;insta_followers;Play_in_CL;player_face_url;club_logo_url;club_flag_url;nation_logo_url;nation_flag_url;player_positions;overall;potential;wage_eur
0;3333;James Milner;35;175;70;Right;England;Liverpool;2022;7.11;Midfield;3737;2;7;15;0;0.51;84.71;0.77;0;6.58;1.15;0.59;0.85;0.58;0.84;0.11;0.65;0.32;0.52;0.39;0.55;0.41;1.55;0.04;41.5;2,1;13;1001885;3,4;1;https://cdn.sofifa.net/players/138/412/22_120.png;https://cdn.sofifa.net/teams/9/60.png;https://cdn.sofifa.net/flags/gb-eng.png;0;https://cdn.sofifa.net/flags/gb-eng.png;CM, LB, RB;79;79;76
1;3455;Zlatan Ibrahimovic;39;195;95;Both;Sweden;AC Milan;2022;7.39;Attack;4433;33;12;8;1;3.58;71.98;3.92;15;7.34;0.21;0.24;1.38;1.03;0.35;0.15;1.25;0.53;0.9;0.66;1.53;0.13;0.65;0.08;49.3;4,3;38;5191266;52,6;1;https://cdn.sofifa.net/players/041/236/22_120.png;https://cdn.sofifa.net/teams/47/60.png;https://cdn.sofifa.net/flags/it.png;https://cdn.sofifa.net/teams/1363/60.png;https://cdn.sofifa.net/flags/se.png;ST;84;84;51
2;4188;Ricardo Quaresma;37;175;68;Right;Portugal;Vitória de Guimarães;2022;6.85;Attack;4156;9;6;15;0;1.6;78.74;0.1;3;6.72;0.56;0.23;0.7;0.14;0.54;0.0;1.63;1.3;1.61;0.65;1.33;1.59;0.85;0.04;46.1;0,3;4;394162;3,2;1;https://cdn.sofifa.net/players/020/775/22_120.png;https://cdn.sofifa.net/teams/1887/60.png;https://cdn.sofifa.net/flags/pt.png;0;https://cdn.sofifa.net/flags/pt.png;RW, LW;77;77;10
3;4311;Maarten Stekelenburg;38;197;92;Right;Netherlands;Ajax;2022;6.08;Goalkeeper;2160;0;0;0;0;0.0;74.54;0.1;1;6.73;0.0;0.14;0.0;0.43;0.0;0.0;0.05;0.04;0.05;0.0;0.05;0.0;5.78;0.0;24.0;0,6;37;373412;0,1;0;https://cdn.sofifa.net/players/002/147/22_120.png;https://cdn.sofifa.net/teams/245/60.png;https://cdn.sofifa.net/flags/nl.png;0;https://cdn.sofifa.net/flags/nl.png;GK;76;76;8
4;7093;Francesco Magnanelli;36;181;79;Right;Italy;U.S. Sassuolo Calcio;2022;6.28;Midfield;1983;0;0;8;0;0.33;88.15;0.81;0;6.45;0.95;0.92;0.82;0.76;0.98;0.26;0.51;0.23;1.31;0.14;0.57;0.0;2.75;0.02;22.0;0,4;11;20965;0;0;https://cdn.sofifa.net/players/149/185/22_120.png;https://cdn.sofifa.net/teams/111974/60.png;https://cdn.sofifa.net/flags/it.png;0;https://cdn.sofifa.net/flags/it.png;CDM;75;75;19
5;7161;Jonas Hofmann;28;176;73;Right;Germany;Borussia Mönchengladbach;2023;7.47;Attack;6011;22;17;4;0;1.3;81.87;0.23;5;7.01;1.27;0.68;0.69;0.36;1.69;0.07;2.05;0.66;0.75;0.72;1.28;1.67;2.0;0.03;66.8;17,1;17;97445;0,1;1;https://cdn.sofifa.net/players/210/324/22_120.png;https://cdn.sofifa.net/teams/23/60.png;https://cdn.sofifa.net/flags/de.png;https://cdn.sofifa.net/teams/1337/60.png;https://cdn.sofifa.net/flags/de.png;CM, RM, LM;79;79;35
6;7825;Pepe Reina;38;188;92;Right;Spain;Lazio;2022;6.43;Goalkeeper;5761;0;1;6;1;0.0;77.51;0.27;1;6.45;0.0;0.03;0.05;0.62;0.07;0.0;0.04;0.0;0.09;0.0;0.02;0.0;7.18;0.0;64.0;0,9;0;366380;0,4;1;https://cdn.sofifa.net/players/024/630/22_120.png;https://cdn.sofifa.net/teams/46/60.png;https://cdn.sofifa.net/flags/it.png;0;https://cdn.sofifa.net/flags/es.png;GK;78;78;27
7;8198;Cristiano Ronaldo;36;187;83;Right;Portugal;Manchester United;2023;7.92;Attack;10734;96;14;16;0;4.98;82.99;1.11;30;7.52;0.26;0.17;0.64;0.67;0.37;0.06;1.2;1.49;1.31;1.01;1.84;0.19;0.63;0.04;119.1;37,5;8;19982892;408,3;1;https://cdn.sofifa.net/players/020/801/22_120.png;https://cdn.sofifa.net/teams/11/60.png;https://cdn.sofifa.net/flags/gb-eng.png;https://cdn.sofifa.net/teams/1354/60.png;https://cdn.sofifa.net/flags/pt.png;ST, LW;91;91;270
8;8246;Philipp Pentke;36;191;84;Right;Germany;TSG Hoffenheim;2022;5.77;Goalkeeper;810;0;0;1;0;0.0;77.58;0.54;0;6.96;0.0;0.0;0.0;1.01;0.0;0.0;0.13;0.0;0.13;0.0;0.1;0.0;5.44;0.0;9.0;0,3;1;4289;0;0;https://cdn.sofifa.net/players/156/437/22_120.png;https://cdn.sofifa.net/teams/10029/60.png;https://cdn.sofifa.net/flags/de.png;0;https://cdn.sofifa.net/flags/de.png;GK;73;73;13
9;9335;Rui Fonte;31;181;73;Right;Portugal;Estoril Praia;2022;6.43;Attack;1898;8;2;2;0;0.9;77.56;1.16;0;6.46;0.3;0.16;0.6;0.59;0.32;0.05;0.3;0.22;1.04;0.68;0.91;0.04;0.34;0.08;21.1;1,6;43;39985;0,1;0;https://cdn.sofifa.net/players/183/518/22_120.png;https://cdn.sofifa.net/teams/10020/60.png;https://cdn.sofifa.net/flags/pt.png;0;https://cdn.sofifa.net/flags/pt.png;ST;70;70;5
